label,color,weather,subnivel,formalidad,adventurous,estampado,estilo,fit,application
22,000000,cold,1.1,Formal,2,herringbone,classic,tight,working_girl
23,FFFFFF,warm,1.2,Formal,2,floral,classic,loose,freetime
24,00008b,warm,1.2,Formal,2,floral,classic,loose,freetime
25,F29985,warm,2.0,Informal,1,smooth,minimal,straight,working_girl
26,BBE2AD,warm,2.0,Informal,1,smooth,minimal,straight,working_girl
27,DEB24C,warm,2.0,Informal,1,smooth,minimal,straight,working_girl
28,00008b,warm,2.0,Informal,1,smooth,minimal,straight,working_girl
29,ECE9D6,warm,2.0,Informal,1,smooth,minimal,straight,working_girl
30,000000,warm,2.0,Informal,1,smooth,minimal,straight,working_girl
31,666633,warm,1.1,Formal,2,smooth,classic,straight,freetime
32,ECE9D6,warm,1.1,Formal,2,smooth,classic,straight,freetime
33,008000,warm,2.0,Formal,2,floral,classic,straight,work
34,DEB24C,warm,2.0,Formal,2,floral,classic,straight,freetime
35,FFFFFF,warm,2.0,Formal,1,smooth,classic,straight,freetime
36,B94600,warm,1.1,Formal,3,retro,classic,straight,special_occasion
37,000081,cold,1.1,Informal,3,smooth,boho,straight,freetime
38,FFC0CB,cold,1.1,Informal,3,smooth,boho,straight,freetime
39,DEB24C,cold,1.1,Informal,2,smooth,street,tight,freetime
40,00008b,warm,2.0,Informal,2,polka_dot,boho,straight,freetime
41,F29985,warm,2.0,Informal,2,vertical_stripes,boho,straight,work
42,87CEFA,cold,1.1,Formal,2,smooth,classic,straight,work
43,00008b,cold,1.1,Formal,2,smooth,classic,straight,work
44,00008b,warm,1.1,Informal,2,smooth,minimal,tight,freetime
45,87CEFA,warm,2.0,Formal,2,printed,classic,loose,freetime
46,FFA500,warm,2.0,Informal,2,sheets,boho,straight,freetime
47,5F5E5E,warm,3.1,Informal,2,smooth,minimal,loose,work
48,FFC0CB,warm,3.1,Informal,2,smooth,minimal,loose,work
49,666633,warm,3.1,Informal,2,smooth,minimal,loose,work
50,ECE9D6,warm,3.0,Informal,3,animal_print,casual,straight,freetime
51,FFFFFF,warm,1.1,Informal,1,smooth,boho,tight,freetime
52,ECE9D6,warm,3.1,Informal,3,floral,street,loose,freetime
53,FFFF00,cold,3.0,Informal,2,smooth,street,straight,freetime
54,666633,warm,2.0,Informal,1,smooth,boho,loose,freetime
55,000000,warm,2.0,Informal,1,smooth,boho,loose,freetime
56,ECE9D6,warm,2.0,Informal,2,smooth,boho,loose,freetime
57,000000,warm,2.0,Informal,2,smooth,boho,loose,freetime
58,000000,warm,1.1,Formal,2,smooth,classic,tight,freetime
59,ECE9D6,warm,2.0,Informal,2,horizontal_stripes,street,loose,freetime
60,ECE9D6,warm,2.0,Informal,2,horizontal_stripes,street,loose,freetime
61,FFFFFF,warm,2.0,Informal,2,smooth,casual,straight,freetime
62,00008b,cold,2.0,Informal,1,horizontal_stripes,street,straight,freetime
63,FFFFFF,warm,2.0,Informal,3,printed,street,straight,freetime
64,614051,warm,3.2,Formal,3,floral,classic,,freetime
65,008000,warm,3.2,Formal,3,floral,classic,,freetime
66,ECE9D6,warm,2.0,Formal,2,floral,classic,straight,freetime
67,00008b,cold,3.0,Informal,1,printed,casual,straight,freetime
68,800000,warm,3.2,Informal,1,smooth,casual,,freetime
69,808080,warm,3.2,Informal,1,smooth,casual,,freetime
70,00008b,warm,3.2,Informal,1,smooth,casual,,freetime
71,000081,warm,1.2,Informal,3,floral,boho,straight,freetime
72,00008b,warm,1.1,Informal,2,smooth,casual,straight,freetime
73,000000,warm,1.1,Informal,2,smooth,casual,straight,freetime
74,DFC8B2,warm,1.1,Informal,2,smooth,casual,straight,freetime
75,000000,warm,1.2,Informal,3,floral,boho,straight,freetime
76,000000,warm,3.0,Formal,2,floral,boho,loose,freetime
77,BBE2AD,warm,2.0,Informal,3,smooth,casual,straight,freetime
78,5F5E5E,warm,2.0,Informal,3,smooth,casual,straight,freetime
79,5F5E5E,warm,2.0,Informal,2,smooth,casual,straight,freetime
80,ECE9D6,warm,2.0,Informal,2,smooth,casual,straight,freetime
81,000000,warm,3.1,Informal,3,floral,street,loose,night
82,FFFFFF,warm,3.0,Informal,3,horizontal_stripes,street,straight,freetime
83,000081,warm,3.2,Informal,1,horizontal_stripes,casual,,work
84,FFC0CB,warm,3.2,Informal,1,horizontal_stripes,casual,,work
85,462C0E,warm,1.1,Formal,2,polka_dot,classic,loose,freetime
86,000000,warm,1.1,Formal,2,polka_dot,classic,loose,freetime
87,000081,cold,1.1,Formal,1,smooth,casual,tight,freetime
88,164A0A,cold,3.1,Informal,1,smooth,minimal,tight,work
89,DFC8B2,warm,1.1,Informal,2,smooth,minimal,straight,working_girl
90,DEB24C,warm,3.0,Formal,2,smooth,classic,straight,freetime
91,800000,warm,3.0,Formal,2,smooth,classic,straight,freetime
92,87CEFA,warm,3.0,Formal,2,smooth,classic,straight,freetime
93,FFA500,warm,3.0,Formal,2,smooth,classic,straight,freetime
94,00008b,warm,3.0,Informal,2,smooth,casual,straight,freetime
95,666633,warm,3.0,Informal,2,smooth,casual,straight,freetime
96,ECE9D6,warm,3.0,Informal,2,smooth,casual,straight,freetime
