color1,color2,combination,user
000000,DFC8B2,yes,User 1 or 2
000000,B94600,yes,User 1 or 2
000000,B11730,yes,User 1 or 2
000000,FFFF00,no,User 1 or 2
000000,ECE9D6,yes,User 1 or 2
000000,00008b,yes,User 1 or 2
000000,164A0A,yes,User 1 or 2
000000,C19A6B,yes,User 1 or 2
000000,D3D3D3,yes,User 1 or 2
000000,666633,yes,User 1 or 2
000000,462C0E,yes,User 1 or 2
000000,0053a5,yes,User 1 or 2
000000,FFFFFF,yes,User 1 or 2
000000,008000,yes,User 1 or 2
000000,5F5E5E,yes,User 1 or 2
000000,DEB24C,yes,User 1 or 2
000000,FFC0CB,yes,User 1 or 2
000000,87CEFA,yes,User 1 or 2
000000,000081,yes,User 1 or 2
000000,FFA500,yes,User 1 or 2
000000,D84936,yes,User 1 or 2
000000,F29985,yes,User 1 or 2
000000,BBE2AD,yes,User 1 or 2
000000,800000,yes,User 1 or 2
000000,768597,yes,User 1 or 2
000000,614051,yes,User 1 or 2
000000,153668,yes,User 1 or 2
000000,808080,yes,User 1 or 2
000000,A57E62,yes,User 1 or 2
000000,d0455f,no,User 1 or 2
000000,FF00A8,no,User 1 or 2
000000,fac4db,yes,User 1 or 2
000000,9A8176,yes,User 1 or 2
000000,fdf7b2,yes,User 1 or 2
000000,E65A5B,no,User 1 or 2
000000,BBA9E4,yes,User 1 or 2
000000,40E0D0,no,User 1 or 2
000000,C7A2A2,yes,User 1 or 2
000000,0000FF,no,User 1 or 2
000000,C9C9C9,yes,User 1 or 2
000000,8e1d03,yes,User 1 or 2
000000,5C2F83,yes,User 1 or 2
000000,FFD200,yes,User 1 or 2
000000,b3832e,yes,User 1 or 2
000000,ebd6a7,yes,User 1 or 2
000000,c4ddce,yes,User 1 or 2
000000,B5A45F,yes,User 1 or 2
000000,3B6968,yes,User 1 or 2
000000,86BE2D,no,User 1 or 2
000000,bcd2e7,yes,User 1 or 2
000000,faaa6e,yes,User 1 or 2
000000,640b22,yes,User 1 or 2
DFC8B2,B94600,yes,User 1 or 2
DFC8B2,B11730,yes,User 1 or 2
DFC8B2,FFFF00,no,User 1 or 2
DFC8B2,ECE9D6,yes,User 1 or 2
DFC8B2,00008b,no,User 1 or 2
DFC8B2,164A0A,yes,User 1 or 2
DFC8B2,C19A6B,yes,User 1 or 2
DFC8B2,D3D3D3,yes,User 1 or 2
DFC8B2,666633,yes,User 1 or 2
DFC8B2,462C0E,yes,User 1 or 2
DFC8B2,0053a5,no,User 1 or 2
DFC8B2,FFFFFF,yes,User 1 or 2
DFC8B2,008000,no,User 1 or 2
DFC8B2,5F5E5E,yes,User 1 or 2
DFC8B2,DEB24C,yes,User 1 or 2
DFC8B2,FFC0CB,no,User 1 or 2
DFC8B2,87CEFA,no,User 1 or 2
DFC8B2,000081,yes,User 1 or 2
DFC8B2,FFA500,no,User 1 or 2
DFC8B2,D84936,no,User 1 or 2
DFC8B2,F29985,yes,User 1 or 2
DFC8B2,BBE2AD,yes,User 1 or 2
DFC8B2,800000,yes,User 1 or 2
DFC8B2,768597,yes,User 1 or 2
DFC8B2,614051,yes,User 1 or 2
DFC8B2,153668,yes,User 1 or 2
DFC8B2,808080,yes,User 1 or 2
DFC8B2,A57E62,yes,User 1 or 2
DFC8B2,d0455f,yes,User 1 or 2
DFC8B2,FF00A8,no,User 1 or 2
DFC8B2,fac4db,yes,User 1 or 2
DFC8B2,9A8176,yes,User 1 or 2
DFC8B2,fdf7b2,yes,User 1 or 2
DFC8B2,E65A5B,no,User 1 or 2
DFC8B2,BBA9E4,yes,User 1 or 2
DFC8B2,40E0D0,no,User 1 or 2
DFC8B2,C7A2A2,yes,User 1 or 2
DFC8B2,0000FF,no,User 1 or 2
DFC8B2,C9C9C9,yes,User 1 or 2
DFC8B2,8e1d03,yes,User 1 or 2
DFC8B2,5C2F83,yes,User 1 or 2
DFC8B2,FFD200,no,User 1 or 2
DFC8B2,b3832e,yes,User 1 or 2
DFC8B2,ebd6a7,yes,User 1 or 2
DFC8B2,c4ddce,yes,User 1 or 2
DFC8B2,B5A45F,yes,User 1 or 2
DFC8B2,3B6968,yes,User 1 or 2
DFC8B2,86BE2D,no,User 1 or 2
DFC8B2,bcd2e7,yes,User 1 or 2
DFC8B2,faaa6e,yes,User 1 or 2
DFC8B2,640b22,yes,User 1 or 2
B94600,B11730,no,User 1 or 2
B94600,FFFF00,no,User 1 or 2
B94600,ECE9D6,yes,User 1 or 2
B94600,00008b,no,User 1 or 2
B94600,164A0A,yes,User 1 or 2
B94600,C19A6B,yes,User 1 or 2
B94600,D3D3D3,yes,User 1 or 2
B94600,666633,yes,User 1 or 2
B94600,462C0E,yes,User 1 or 2
B94600,0053a5,no,User 1 or 2
B94600,FFFFFF,yes,User 1 or 2
B94600,008000,no,User 1 or 2
B94600,5F5E5E,yes,User 1 or 2
B94600,DEB24C,yes,User 1 or 2
B94600,FFC0CB,yes,User 1 or 2
B94600,87CEFA,no,User 1 or 2
B94600,000081,no,User 1 or 2
B94600,FFA500,yes,User 1 or 2
B94600,D84936,yes,User 1 or 2
B94600,F29985,yes,User 1 or 2
B94600,BBE2AD,yes,User 1 or 2
B94600,800000,yes,User 1 or 2
B94600,768597,yes,User 1 or 2
B94600,614051,yes,User 1 or 2
B94600,153668,yes,User 1 or 2
B94600,808080,yes,User 1 or 2
B94600,A57E62,yes,User 1 or 2
B94600,d0455f,yes,User 1 or 2
B94600,FF00A8,no,User 1 or 2
B94600,fac4db,no,User 1 or 2
B94600,9A8176,yes,User 1 or 2
B94600,fdf7b2,yes,User 1 or 2
B94600,E65A5B,yes,User 1 or 2
B94600,BBA9E4,no,User 1 or 2
B94600,40E0D0,no,User 1 or 2
B94600,C7A2A2,yes,User 1 or 2
B94600,0000FF,no,User 1 or 2
B94600,C9C9C9,yes,User 1 or 2
B94600,8e1d03,yes,User 1 or 2
B94600,5C2F83,yes,User 1 or 2
B94600,FFD200,no,User 1 or 2
B94600,b3832e,yes,User 1 or 2
B94600,ebd6a7,yes,User 1 or 2
